Reporter	normalized log2 ratio
620568	-0.418
620569	0.073
620570	-0.028
620571	-0.029
620572	0.268
620573	-0.465
620574	0.143
620575	-0.089
620576	-0.019
620581	-0.284
620582	-3.71
620583	-0.164
620589	0.276
620590	0.108
620591	0.534
620592	-0.094
620593	0.83
620594	0.26
620595	0.272
620596	0.19
620597	0.42
620598	0.453
620599	-0.069
620600	1.012
620601	0.149
620602	-0.293
620603	0.136
620604	0.219
620605	0.378
620606	0.053
620607	0.105
620608	0.042
620609	-0.349
620610	0.344
620611	0
620612	0.201
620613	-5.229
620614	-0.164
620615	0.028
620616	0.095
620617	0.06
620618	0.134
620619	0.241
620620	-0.152
620621	0.123
620622	0.166
620623	0.1
620625	0.113
620626	0.486
620837	-0.411
620838	0.042
620839	-0.152
620840	-0.155
620841	0.121
620842	0.012
620843	-0.282
620844	0.144
620845	-0.048
620846	0.157
620847	-0.025
620848	-0.164
620849	-1.003
620850	-0.122
620851	0.633
620852	0.081
620853	-0.224
620854	0.091
620855	-0.001
620856	0.17
620857	0.231
620858	-0.02
620859	-0.079
620860	-0.042
620861	0.459
620862	-0.162
620863	-0.218
620864	0.006
620865	-3.197
620866	0.448
620867	-0.126
620868	-0.481
620869	-2.404
620870	-0.34
620871	-0.034
620872	-0.177
620873	-0.171
620874	-4.784
620875	0.122
620876	-0.28
620877	-0.062
620878	0.264
620879	-0.065
620880	-0.068
620881	0.099
620882	0.278
620883	0.318
620884	0.048
620885	0.187
620886	0.188
620887	0.159
620888	0.117
620889	0.231
620890	0.242
620891	0.257
620892	0.242
620893	0.3
620894	0.137
620895	0.384
620896	0.167
620897	0.31
620898	0.036
620899	-0.04
620900	0.181
620901	-0.098
620902	-0.152
620903	0.132
620904	-0.053
620905	-2.235
620906	-0.274
620907	0.033
620908	0.142
620909	0.053
620910	-0.109
620911	0.123
620912	-0.219
620913	-0.624
620914	-0.04
620915	1.54
620916	-0.126
620917	0.231
620918	0.231
620919	-0.252
620920	-0.067
620921	-0.445
620922	0.024
620923	0.282
620924	-0.089
620925	-0.117
620926	0.091
620927	-0.258
620928	-0.492
620929	-0.541
620930	0.153
620931	-0.105
620932	0.246
620933	-0.488
620934	0.156
620935	0.315
620936	-0.078
620937	0.446
620938	-0.117
620939	-0.152
620940	-0.238
620941	0.274
620942	0.126
620943	-0.01
620944	-0.276
620945	0.145
620946	-0.053
620947	-0.384
620948	0.055
620949	0.137
620950	0.026
620951	0.286
620952	0.267
620953	0.156
620954	0.059
620955	-0.045
620956	-1.026
620957	0.221
620958	-0.676
620959	0.181
620960	0.184
620961	-0.227
620962	-0.042
620963	0.026
620964	1.574
620965	0.176
620966	-0.061
620967	-0.879
620968	0.212
620969	0.255
620970	0.133
620971	0.25
620972	0.116
620973	-2.202
620974	0.175
620975	0.165
620976	0.237
620977	-1.744
620978	0.227
620979	-0.131
620980	-0.214
620981	0.1
620982	0.324
620983	-0.062
620984	0.158
620985	0.206
620986	0.11
620987	0.017
620989	0.137
620990	0.246
620991	-0.202
620992	-0.658
620993	0.108
620994	-0.009
620995	-0.091
620996	0.125
620997	0.1
620998	0.329
620999	0.142
621000	0.538
621001	0.862
621002	0.422
621003	0.185
621004	0.097
621005	-0.083
621006	-0.573
621007	0.286
621008	-0.1
621009	-0.246
621010	-0.113
621011	0.256
621012	1.312
621013	0.295
621014	-0.165
621015	1.342
621016	-0.013
621017	1.523
621018	0.053
621019	0.153
621020	0.361
621021	1.411
621022	0.116
621023	0.165
621024	-0.064
621025	0.043
621026	-0.126
621027	0.611
621028	0.345
621029	0.194
621030	-0.388
621031	0.095
621032	0.022
621033	-0.092
621034	-0.289
621035	0.591
621036	-0.12
621245	-0.64
621246	-0.483
621247	-1.619
621248	-0.091
621249	0.301
621250	-0.02
621251	-0.367
621252	-0.07
621253	-0.005
621254	0.232
621255	-0.126
621256	-0.05
621257	0.298
621258	-0.156
621259	0.195
621260	-0.188
621261	-0.081
621262	0.189
621263	-0.048
621264	0.283
621265	0.555
621266	-0.258
621267	-0.154
621268	-0.171
621269	-0.114
621270	-0.042
621271	0.136
621272	0.14
621273	-0.114
621274	0.051
621275	0.242
621276	0.238
621277	-0.415
621278	-0.037
621279	0.023
621280	0.121
621281	0.128
621282	0.207
621283	-0.003
621284	0.205
621285	-0.094
621286	-0.553
621287	-0.885
621288	-0.43
621289	0.022
621290	-0.056
621291	-0.059
621292	0.053
621293	-0.457
621294	-0.133
621295	0.046
621296	-1.535
621297	0.054
621298	0.202
621299	0.047
621300	0.213
621301	-0.096
621302	-0.158
621303	-0.05
621304	0.112
621305	-0.042
621306	-0.05
621307	0.065
621308	-0.118
621309	0.194
621310	0.209
621311	0.029
621312	-0.101
621313	-0.399
621314	-0.225
621315	0.031
621316	0.177
621317	-0.073
621318	-0.151
621319	0.08
621320	0.276
621321	0.251
621322	-1.758
621323	-0.181
621324	-1.487
621325	0.104
621326	-0.009
621327	-0.073
621328	-0.313
621329	-0.147
621330	0.109
621331	-0.116
621332	0.195
621333	-0.094
621334	-0.002
621335	0.1
621336	-0.083
621337	-0.016
621338	-0.189
621339	-0.495
621340	-0.324
621341	0.293
621342	-0.889
621343	-0.057
621344	-0.138
621345	-0.25
621346	0.077
621347	0.121
621348	-0.894
621349	-0.78
621350	0.241
621351	0.155
621352	0.055
621353	0.338
621354	-0.131
621355	-0.095
621356	-0.207
621357	-0.069
621358	0.144
621359	0.129
621360	0.252
621361	0.128
621362	0.221
621363	-3.654
621364	0.335
621365	0.084
621366	-0.571
621367	0.271
621368	0.133
621369	-0.076
621370	0.192
621371	0.018
621372	0.034
621373	0.128
621374	-0.276
621375	-0.122
621376	0.31
621377	-0.076
621378	0.157
621379	0.207
621380	-0.079
621381	-0.178
621382	-0.423
621383	-0.229
621384	0.189
621385	0.217
621386	0.143
621387	0.81
621388	0.197
621389	0.08
621390	-0.166
621391	0.073
621392	-0.088
621393	0.435
621394	-0.143
621395	0.319
621396	-0.344
621397	0.111
621398	-0.036
621399	-0.064
621400	-0.464
621401	-0.097
621402	0.06
621403	-0.036
621404	0.074
621405	0.272
621406	0.24
621407	0.099
621408	0.19
621409	0.009
621410	-0.708
621411	-0.072
621412	0.1
621413	0.579
621414	0.083
621415	0.388
621416	0.193
621417	0.02
621418	0.537
621419	0.09
621420	0.413
621421	0.403
621422	0.257
621423	0.057
621424	-0.132
621425	0.482
621426	0.096
621427	0.2
621428	0.038
621429	0.164
621430	0.282
621431	-0.671
621432	-0.06
621433	0.046
621434	0.001
621435	0.179
621436	0.008
621437	0.318
621438	0.108
621439	0.464
621440	0.173
621441	0.084
621442	-0.089
621443	0.355
621444	0.352
621653	0.012
621654	0.254
621655	0.818
621656	-0.104
621657	0.163
621658	0.213
621659	0.213
621660	-0.11
621661	0.248
621662	-0.307
621663	-0.161
621664	-0.139
621665	-0.014
621666	0.2
621667	0.142
621668	0.186
621669	0.163
621670	1.569
621671	0.004
