reporter_name,gene_name,gene_entrez_id
620827,maoC,945954
620829,yojO,5061514
620830,rygD,2847684
620853,rstB,948870
620861,gapCpseudogene,
620870,mdoD,945994
620884,ycfJ,945977
620903,renD_v2,945024
620938,mrdB,945238
620939,hemB,945017
620941,gsiA,945457
620947,mgtA,948778
620948,yqiG_v2,947529
620952,ynjC,946273
620965,yjiH,948856
620972,yjhRpseudogene_v2,944740
620975,eutH,944979
620997,nudJ,945689
620998,yhcEpseudogene,
620999,cspI,946099
621000,cysM,946888
621001,yeaR,946317
621002,sroF,2847700
621003,yeeT,946513
621004,yffM,946921
621005,leuU,947505
621006,serU,946492
621007,insN_v2,
621008,pldA,948307
621009,yhdW,947766
621010,cbrA,948197
621011,yfjVpseudogene_v2,
621012,yfdH,949098
621013,asnT,946509
621014,yebS,946353
621015,aceK,944797
621016,ydfE,946113
621017,fliS,946429
621018,wzxC,946581
621019,ydfW,946111
621020,fpr,948414
621021,fliL,946443
621022,rfbX,946557
621023,ygeOpseudogene,947325
621024,rutF,946594
621025,yihM,948367
621026,ymfI,945712
621027,insH,946163
621028,yjiS,948903
621029,yddG,945942
621030,ilvD,948277
621031,ybaV,945884
621032,yfjR,947309
621033,oxyS,2847701
621034,rttR,946224
621035,icdCpseudogene,4056026
621036,rygC,2847749
621057,rstB,948870
621065,gapCpseudogene,
621074,mdoD,945994
621088,ycfJ,945977
621107,renD_v2,945024
621142,mrdB,945238
621143,hemB,945017
621145,gsiA,945457
621151,mgtA,948778
621152,yqiG_v2,947529
621156,ynjC,946273
621169,yjiH,948856
621176,yjhRpseudogene_v2,944740
621179,eutH,944979
621201,nudJ,945689
621202,yhcEpseudogene,
621203,cspI,946099
621204,cysM,946888
621205,yeaR,946317
621206,sroF,2847700
621207,yeeT,946513
621208,yffM,946921
621209,leuU,947505
621210,serU,946492
621211,insN_v2,
621212,pldA,948307
621213,yhdW,947766
621214,cbrA,948197
621215,yfjVpseudogene_v2,
621216,yfdH,949098
621217,asnT,946509
621218,yebS,946353
621219,aceK,944797
621220,ydfE,946113
621221,fliS,946429
621222,wzxC,946581
621223,ydfW,946111
621224,fpr,948414
621225,fliL,946443
621226,rfbX,946557
621227,ygeOpseudogene,947325
621228,rutF,946594
621229,yihM,948367
621230,ymfI,945712
621231,insH,946163
621232,yjiS,948903
621233,yddG,945942
621234,ilvD,948277
621235,ybaV,945884
621236,yfjR,947309
621237,oxyS,2847701
621238,rttR,946224
621239,icdCpseudogene,4056026
621240,rygC,2847749
621261,rsxC,946137
621280,fhuA,944856
621281,lfhApseudogene,944908
621314,pabB,946337
621319,ymfA,945684
621328,glnX,945255
621333,rhsEpseudogene,946026
621334,dhaM,945749
621347,ygeY,947360
621352,kdsC,947717
621365,ychO,945801
621367,yciQ,945850
621375,ytfJ,948737
621376,fimB,948832
621379,ycjV_v2,4306141
621392,yicN,948173
621405,yeiN,946699
621406,fucA,947282
621407,aroD,946210
621408,pblpseudogene_v2,947338
621409,ybeU,945244
621410,argQ,946596
621411,aaeX,947751
621412,yfbP,946754
621413,ygbT,947228
621414,ymfPpseudogene,945703
621415,ymdEpseudogene,945589
621416,yfdS,946426
621417,lsrA,945680
621418,mmuP,946284
621419,tfaXpseudogene,945183
621420,sroB,5061500
621421,hchA,946481
621422,cysP,946883
621423,yqgA,947462
621424,yihL,948368
621425,insN,
621426,ymfT,945720
621427,lsrK,946069
621428,yheV,1450290
621429,ptsA,948437
621430,ytfN,948742
621431,ffs,944909
621432,ygeI,947336
621433,htrE,944819
621434,thrW,947202
621435,puuP,946287
621436,yccE,947468
621437,rzpQ,946107
621438,yidZ,948227
621439,lsrR,946070
621440,ybfN,945713
621441,ybfLpseudogene,947992
621442,yjbS,5061529
621443,ryeA,2847771
621444,ypjJ,1450287
621465,rsxC,946137
621484,fhuA,944856
621485,lfhApseudogene,944908
621518,pabB,946337
621523,ymfA,945684
621532,glnX,945255
621537,rhsEpseudogene,946026
621538,dhaM,945749
621551,ygeY,947360
621556,kdsC,947717
